#TAG,NAME IN REPO (or git url), PURPOS (short desctiption)
,sxiv,"is a minimalist image viewer."
,mpv,"is the patrician's choice video player."
A,sc-im,"is an Excel-like terminal spreasheet manager."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,zathur,"is a pdf viewer with vim-like bindings"
,zathura-pdf-mupdt,"allows mupdf pdf compatibility in zathura"
,.poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
A,task-spooler,"queues commands or files for download."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
